時間,設備,值
2024-10-25 18:52:47,SA-59/LED_LEVEL,6
2024-10-25 18:52:54,SA-59/LED_LEVEL,7
2024-10-25 18:52:55,SA-59/LED_LEVEL,6
2024-10-25 19:14:21,SA-59/LED_LEVEL,8
2024-10-25 19:14:28,SA-59/LED_LEVEL,9
2024-10-25 19:14:29,SA-59/LED_LEVEL,10
2024-10-25 19:14:33,SA-59/LED_LEVEL,8
2024-10-25 19:15:06,SA-59/LED_LEVEL,9
2024-10-25 19:15:07,SA-59/LED_LEVEL,6
2024-10-25 19:15:08,SA-59/LED_LEVEL,8
2024-10-25 19:42:57,SA-59/TEMPERATURE,30.79
2024-10-25 19:43:47,SA-59/TEMPERATURE,30.32
2024-10-25 19:43:49,SA-59/TEMPERATURE,30.79
2024-10-25 19:43:57,SA-59/TEMPERATURE,30.79
2024-10-25 19:44:01,SA-59/LED_LEVEL,1
2024-10-25 19:44:02,SA-59/LED_LEVEL,4
2024-10-25 19:44:03,SA-59/LED_LEVEL,6
2024-10-25 19:44:04,SA-59/LED_LEVEL,10
2024-10-25 19:44:05,SA-59/LED_LEVEL,2
2024-10-25 19:44:37,SA-59/TEMPERATURE,31.26
2024-10-25 19:44:39,SA-59/TEMPERATURE,30.79
2024-10-25 19:44:47,SA-59/TEMPERATURE,30.32
2024-10-25 19:44:49,SA-59/TEMPERATURE,30.79
2024-10-25 19:45:01,SA-59/TEMPERATURE,30.32
2024-10-25 19:45:05,SA-59/TEMPERATURE,30.79
2024-10-25 19:45:25,SA-59/TEMPERATURE,30.32
2024-10-25 19:45:27,SA-59/TEMPERATURE,30.79
2024-10-25 19:45:53,SA-59/TEMPERATURE,30.32
2024-10-25 19:45:55,SA-59/TEMPERATURE,30.79
2024-10-25 19:45:59,SA-59/TEMPERATURE,30.32
2024-10-25 19:46:01,SA-59/TEMPERATURE,30.79
2024-10-25 19:46:33,SA-59/TEMPERATURE,30.79
2024-10-25 19:46:33,SA-59/LED_LEVEL,2
2024-10-25 19:46:55,SA-59/TEMPERATURE,30.32
2024-10-25 19:46:57,SA-59/TEMPERATURE,30.79
